house,state,work_type,work_id,ida,mp,constituency,district,fy,exp_date_str,vendor,pay_status,amount
LOK_SABHA,Haryana,Construction of toilet blocks,WS/MP18060/2025-2026/212185,AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),VARUN CHAUDHRY (2024-2029),AMBALA,AMBALA,2025-2026,02-Mar-2026,Khurana Paint Hardware and Sanitary Store,Payment Success,33334.0
LOK_SABHA,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/ MP578/2024-2025/162113,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),Mansukhbhai Dhanjibhai Vasava (2024-2029),VADODARA,VADODARA,2024-2025,02-Mar-2026,PINGALWADA GRAM PANCHAYAT,Payment Success,150000.0
LOK_SABHA,Gujarat,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/ MP578/2025-2026/241858,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),Mansukhbhai Dhanjibhai Vasava (2024-2029),VADODARA,VADODARA,2025-2026,02-Mar-2026,MANGLEJDHNORA GRAM PANCHAYT,Payment Success,100000.0
LOK_SABHA,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18168/2025-2026/263211,KARAULI(DISTRICT COLLECTOR KARAULI_IDA),BHAJAN LAL JATAV (2024-2029),KARAULI,KARAULI,2025-2026,23-Mar-2026,ms balaji counstruction,Payment Success,467193.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257676,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,18-May-2026,SHIKHA MATHUR,Payment Success,336767.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2024-2025/168114,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2024-2025,18-Jun-2026,SHIKHA MATHUR,Payment Success,631536.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257680,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,18-May-2026,SHIKHA MATHUR,Payment Success,215350.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257678,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,18-May-2026,SHIKHA MATHUR,Payment Success,354708.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257679,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,18-Jun-2026,SHIKHA MATHUR,Payment Success,624621.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257676,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,26-Feb-2026,SHIKHA MATHUR,Payment Success,993835.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257678,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,26-Feb-2026,SHIKHA MATHUR,Payment Success,1050762.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257670,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,26-Feb-2026,SHIKHA MATHUR,Payment Success,1162940.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257680,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,26-Feb-2026,SHIKHA MATHUR,Payment Success,630372.0
